title,author,id
赠韦穆十八,王维
泊松江,杜牧
句 二,李白
游云门,元稹
从军行七首 一,王昌龄
荷叶杯 三,温庭筠
夔州歌十绝句 九,杜甫
春晦饯陶七于江南同用风字,陈子昂
剧嘲史寰,王维
龙标野宴,王昌龄
期宿客不至,白居易
新秋,白居易
和殷协律琴思,白居易
代人寄远六言二首 一,杜牧
寒夜思友三首 二,王勃
横吹曲辞 出塞,王之涣
竹枝词九首 八,刘禹锡
旅行,孟郊
独酌,杜牧
盆池,杜牧
咏廿四气诗 寒露九月节,元稹
九月九日登玄武山,卢照邻
京中正月七日立春,罗隐
杨柳枝词八首 一,白居易
玩萤火,韦应物
乌程,罗隐
屏风,李商隐
寄远,杜牧
和王七玉门关听吹笛,高适
送袁明府任长沙,李白
宿石矶,元稹
伊州歌,王维
送魏二,王昌龄
别辛渐,王昌龄
瑶瑟怨,温庭筠
前庭凉夜,白居易
友人夜访,白居易
哭晁卿衡,李白
寄东塔僧,杜牧
秋夜苦吟,杜荀鹤
闻王昌龄左迁龙标遥有此寄,李白
忆江南 一,温庭筠
潇湘神 一,刘禹锡
江南春绝句,杜牧
宿赞公房,杜甫
秋霁寄远,杜牧
哭子十首 九,元稹
古意,王昌龄
乱后过流沟寺,白居易
杨柳八首 四,温庭筠
杨柳八首 七,温庭筠
山中寄诗友,杜荀鹤
解秋十首 七,元稹
题造微禅师院,温庭筠
条山苍,韩愈
忆东山二首 一,李白
同襃子秋斋独宿,韦应物
辋川集 竹里馆,王维
横江词六首 四,李白
别董大二首 一,高适
清湘词二首 一,刘禹锡
竹枝词九首 三,刘禹锡
浪淘沙九首 七,刘禹锡
琴曲歌辞 别鹤,杜牧
前出塞九首 七,杜甫
酬马八效古见赠,高适
冬夜对酒寄皇甫十,白居易
三月十八日雪中作,温庭筠
杨柳枝词九首 一,刘禹锡
杨柳枝词九首 六,刘禹锡
三五七言,李白
凉州词二首” 一,王之涣
杨柳枝词八首 四,白居易
杨柳枝词九首 八,刘禹锡
马诗二十三首 九,李贺
秋浦歌十七首 六,李白
观放白鹰二首 一,李白
赠李十四四首 一,王勃
复愁十二首 十一,杜甫
黄头郎,李贺
菩萨蛮 九,温庭筠
池鹤八绝句 鹅赠鹤,白居易
宿骆氏亭寄怀崔雍衮,李商隐
游城南十六首 晚春,韩愈
杭州景致,白居易
琴曲歌辞  渌水曲,李白
句,杜荀鹤
吉祥寺见钱侍郎题名,白居易
秋浦歌十七首 十二,李白
悼亡,孟郊
楡林郡歌,王维
别鹤,杜牧
塞上,杜荀鹤
闻雷,白居易
失鹤,白居易
咏廿四气诗 清明三月节,元稹
回中作,温庭筠
句,孟浩然
杂曲歌辞 杨柳枝 一,白居易
昌谷北园新笋四首 四,李贺
相和歌辞 从军行 二,王昌龄
宋中十首 四,高适
杂曲歌辞 浪淘沙 三,白居易
十九兄郡楼有宴病不赴,杜牧
陪诸贵公子丈八沟携妓纳凉晚际遇雨二首 一,杜甫
石镜寺,卢照邻
边笳曲,温庭筠
送魏八,高适
霜月,李商隐
雨声,元稹
夜池,元稹
拟醉,元稹
无题,李商隐
夜冷,李商隐
见薛大臂鹰作,高适
旅怀,杜荀鹤
村夜,白居易
山行,杜牧
七夕,杜牧
荷叶杯 二,温庭筠
横吹曲辞 前出塞九首 七,杜甫
句,罗隐
句,李白
江南弄,王勃
宿神龟招李二十八冯十七,韩愈
登辨觉寺,王维
山居秋暝,王维
寒食即事,王昌龄
草堂即事,杜甫
忆吴处士,贾岛
茶山下作,杜牧
玉蝴蝶,温庭筠
松滋渡望峡中,刘禹锡
九日,王勃
滞雨,李商隐
斫竹,杜牧
送别,王昌龄
秋夕,白居易
秋虫,白居易
早春,白居易
池窗,白居易
有寄,杜牧
江楼,杜牧
看采莲,白居易
三年别,白居易
田园乐七首 七,王维
代鹤荅,白居易
瑟瑟钗,温庭筠
田园乐七首 四,王维
青楼怨,王昌龄
送程六,王昌龄
桃氏林亭,贾岛
建昌江,白居易
赠江客,白居易
关山月,卢照邻
初秋寄友人,罗隐
送人归江宁,岑参
送费六还蜀,骆宾王
题融公兰若,孟浩然
送厉宗上人,贾岛
送友封二首 一,元稹
荅谢家最小偏怜女,白居易
劝酒十四首 何处难忘酒七首 四,白居易
题郑拾遗草堂,韦应物
九日登梓州城,杜甫
遣行十首 六,元稹
蜀中九日,王勃
寒食月夜,白居易
题清头陀,白居易
送殷四葬,王维
九日送别,王之涣
池边即事,白居易
寒亭留客,白居易
秋浦途中,杜牧
西宫秋怨,王昌龄
送柴侍御,王昌龄
苏台览古,李白
观放白鹰二首 二,李白
出妓金陵子呈卢六四首 二,李白
咏春雪,韦应物
饮新酒,元稹
南浦别,白居易
咏水精,韦应物
送张四,王昌龄
渌水曲,李白
忆江南词三首 一,白居易
长斋月满寄思黯,白居易
早秋雨后寄乐天,刘禹锡
送金州鉴周上人,贾岛
寄山友长孙栖峤,贾岛
生春二十首 八,元稹
酒泉子 三,温庭筠
相和歌辞 江南弄,王勃
独酌,李白
叹春风兼赠李二十侍郎二绝 一,白居易
白云夫旧居,李商隐
听弹湘妃怨,白居易
潇湘神 二,刘禹锡
忆江南 三,白居易
荅裴迪辋口遇雨忆终南山之作,王维
凉州词 二,孟浩然
赋得听边鸿,白居易
九日题涂溪,白居易
忆江南 二,刘禹锡
月夜听卢子顺弹琴,李白
横吹曲辞 关山月,卢照邻
冬初酒熟二首 一,白居易
与夏十二登岳阳楼,李白
村雪夜坐,白居易
上皇三台,韦应物
山扉夜坐,王勃
